"recordtype","id","type","dc.identifier","dc.language","dc.source","isVersionOf","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"CATALOG","omg_catalog:codelijst","dcat:Catalog",,,,,,,,,,,,,,,,,,,,"omg_dataset:codelijst-emissie",,,,,,,,,,,,,,,,,
"DATASET","omg_dataset:codelijst-emissie","dcat:Dataset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"V2.1.0-DATASET","omg_dataset:codelijst-emissie.2.1.0","dcat:Dataset","be.vlaanderen.omgeving.data.id.dataset.codelijst-emissie.2.1.0","nl",,"omg_dataset:codelijst-emissie",,"Dataset codelijst emissie","Deze dataset bevat een lijst van emissietypes, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.","omg_dataset:codelijst-emissie.2.1.0","2023-06-26","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst emissie","omg_conceptscheme:emissie","Codelijst emissie (2.1.0)","2.1.0","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-emissie.2.1.0.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-emissie.2.1.0.emissie.csv|omg_distribution:codelijst-emissie.2.1.0.emissie.jsonld|omg_distribution:codelijst-emissie.2.1.0.emissie.ttl|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-emissie.2.1.0","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V2.1.0-DISTRIB","omg_distribution:codelijst-emissie.2.1.0.emissie.csv","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie.2.1.0.emissie.csv",,,,,,"Codelijst emissie, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-emissie.2.1.0.emissie.csv","2023-06-26",,,,"ovo:OVO003751",,"Codelijst emissie in text/csv formaat.",,"Codelijst emissie, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-emissie.2.1.0.emissie.csv.html",,,,,"file_type:CSV","https://github.com/milieuinfo/codelijst-emissie.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie.2.1.0.emissie.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V2.1.0-DISTRIB","omg_distribution:codelijst-emissie.2.1.0.emissie.jsonld","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie.2.1.0.emissie.jsonld",,,,,,"Codelijst emissie, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-emissie.2.1.0.emissie.jsonld","2023-06-26",,,,"ovo:OVO003751",,"Codelijst emissie in jsonld rdf-formaat.",,"Codelijst emissie, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-emissie.2.1.0.emissie.jsonld.html",,,,,"file_type:JSON_LD","https://github.com/milieuinfo/codelijst-emissie.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie.2.1.0.emissie.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V2.1.0-DISTRIB","omg_distribution:codelijst-emissie.2.1.0.emissie.ttl","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie.2.1.0.emissie.ttl",,,,,,"Codelijst emissie, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-emissie.2.1.0.emissie.ttl","2023-06-26",,,,"ovo:OVO003751",,"Codelijst emissie in Turtle rdf-formaat.",,"Codelijst emissie, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-emissie.2.1.0.emissie.ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/milieuinfo/codelijst-emissie.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie.2.1.0.emissie.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
"V2.1.0-PACKAGE","omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-emissie.2.1.0","dcat:Distribution|spdx:Package","be.vlaanderen.omgeving.data.id.graph.codelijst-emissie.2.1.0",,,,,,"Codelijst emissie, Jar maven package.","omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-emissie.2.1.0","2023-06-26",,,,"ovo:OVO003751",,"Codelijst emissie in jar-formaat.",,"Package codelijst-emissie",,,,"access_right:PUBLIC",,,,,,,,"file_type:JAR",,,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-emissie/2.1.0/codelijst-emissie-2.1.0.jar",,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-emissie/2.1.0/codelijst-emissie-2.1.0.jar","codelijst-emissie-2.1.0.jar","be.vlaanderen.omgeving.data.id.graph.codelijst-emissie","2.1.0"
