"id","type","dc.identifier","dc.language","dc.source","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"omg_catalog:codelijst","dcat:Catalog","","","","","","","","","","","","","","","","","","","omg_dataset:codelijst-emissie","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-emissie","dcat:Dataset","","","","omg_dataset:codelijst-emissie.1.1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-emissie.1.1.0","dcat:Dataset","be.vlaanderen.omgeving.data.id.dataset.codelijst-emissie.1.1.0","nl","","","Codelijst emissie Dataset","Deze dataset bevat een lijst van emissietypes, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.","omg_dataset:codelijst-emissie'1.1.0","2023-02-17","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Thesaurus emissie","omg_conceptscheme:emissie","Dataset Codelijst emissie","1.1.0","omg_vcard:helpdesk","","access_right:PUBLIC","https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html","","https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-emissie.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-emissie_csv.1.1.0|omg_distribution:codelijst-emissie_jsonld.1.1.0|omg_distribution:codelijst-emissie_ttl.1.1.0|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-emissie.1.1.0","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087","","","","","","","","",""
"omg_distribution:codelijst-emissie_csv.1.1.0","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie_csv.1.1.0","","","","","Codelijst emissie, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-emissie_csv.1.1.0","2023-02-17","","","","ovo:OVO003751","","Codelijst emissie in text/csv formaat.","","Codelijst emissie, in text/csv formaat.","1.1.0","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-emissie_csv.html","","","","","file_type:CSV","https://github.com/milieuinfo/codelijst-emissie.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-emissie/codelijst-emissie-1.1.0/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/emissie/emissie.csv","https://www.iana.org/assignments/media-types/text/csv","","","",""
"omg_distribution:codelijst-emissie_jsonld.1.1.0","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie_jsonld.1.1.0","","","","","Codelijst emissie, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-emissie_jsonld.1.1.0","2023-02-17","","","","ovo:OVO003751","","Codelijst emissie in jsonld rdf-formaat.","","Codelijst emissie, in jsonld rdf-formaat.","1.1.0","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-emissie_jsonld.html","","","","","file_type:JSON_LD","https://github.com/milieuinfo/codelijst-emissie.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-emissie/codelijst-emissie-1.1.0/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/emissie/emissie.jsonld","https://www.iana.org/assignments/media-types/application/ld+json","","","",""
"omg_distribution:codelijst-emissie_ttl.1.1.0","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie_ttl.1.1.0","","","","","Codelijst emissie, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-emissie_ttl.1.1.0","2023-02-17","","","","ovo:OVO003751","","Codelijst emissie in Turtle rdf-formaat.","","Codelijst emissie, in Turtle rdf-formaat.","1.1.0","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-emissie_ttl.html","","","","","file_type:RDF_TURTLE","https://github.com/milieuinfo/codelijst-emissie.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-emissie/codelijst-emissie-1.1.0/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/emissie/emissie.ttl","https://www.iana.org/assignments/media-types/text/turtle","","","",""
"omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-emissie.1.1.0","spdx:Package|dcat:Distribution","be.vlaanderen.omgeving.data.id.graph.codelijst-emissie.1.1.0","","","","","Codelijst emissie, Jar maven package.","omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-emissie.1.1.0","2023-02-17","","","","ovo:OVO003751","","Codelijst emissie in jar-formaat.","","Package codelijst-emissie","1.1.0","","","access_right:PUBLIC","","","","","","","","file_type:JAR","","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-emissie/1.1.0/codelijst-emissie-1.1.0.jar","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-emissie/1.1.0/codelijst-emissie-1.1.0.jar","codelijst-emissie-1.1.0.jar","be.vlaanderen.omgeving.data.id.graph.codelijst-emissie","1.1.0"
