id,type,dc.identifier,dc.language,dc.source,hasVersion  ,alternative,description,identifier,issued,dct.language,license,publisher,rightsHolder,spatial,title,rootResource,label,owl.versionInfo,contactPoint,dataset,accessRights,landingPage,servesDataset,page,accrualPeriodicity,temporal,distribution,theme,format,accessURL,compressFormat,downloadURL,mediaType,downloadLocation,packageFileName,packageName,versionInfo
omg_catalog:codelijst,dcat:Catalog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omg_dataset:codelijst-emissie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
omg_dataset:codelijst-emissie,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-emissie,nl,NA,NA,Codelijst emissie Dataset,"Deze dataset bevat een lijst van emissietypes, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.",omg_dataset:codelijst-emissie,2022-03-01,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Thesaurus emissie,omg_conceptscheme:emissie,Dataset Codelijst emissie,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-emissie.html,frequency:IRREG,omg_periodoftime:dataset_omg,omg_distribution:codelijst-emissie_csv|omg_distribution:codelijst-emissie_jsonld|omg_distribution:codelijst-emissie_ttl|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-emissie,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
omg_distribution:codelijst-emissie_csv,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie_csv,NA,NA,NA,NA,"Codelijst emissie, geserialiseerd in csv tabelformaat.",omg_distribution:codelijst-emissie_csv,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst emissie in text/csv formaat.,NA,"Codelijst emissie, in text/csv formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-emissie_csv.html,NA,NA,NA,NA,file_type:CSV,https://github.com/milieuinfo/codelijst-emissie.git,http://www.iana.org/assignments/media-types/application/gzip,https://raw.githubusercontent.com/milieuinfo/codelijst-emissie/codelijst-emissie/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/emissie/emissie.csv,https://www.iana.org/assignments/media-types/text/csv,NA,NA,NA,NA
omg_distribution:codelijst-emissie_jsonld,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie_jsonld,NA,NA,NA,NA,"Codelijst emissie, geserialiseerd in een jsonld bestand.",omg_distribution:codelijst-emissie_jsonld,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst emissie in jsonld rdf-formaat.,NA,"Codelijst emissie, in jsonld rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-emissie_jsonld.html,NA,NA,NA,NA,file_type:JSON_LD,https://github.com/milieuinfo/codelijst-emissie.git,http://www.iana.org/assignments/media-types/application/gzip,https://raw.githubusercontent.com/milieuinfo/codelijst-emissie/codelijst-emissie/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/emissie/emissie.jsonld,https://www.iana.org/assignments/media-types/application/ld+json,NA,NA,NA,NA
omg_distribution:codelijst-emissie_ttl,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-emissie_ttl,NA,NA,NA,NA,"Codelijst emissie, geserialiseerd in Turtle bestand.",omg_distribution:codelijst-emissie_ttl,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst emissie in Turtle rdf-formaat.,NA,"Codelijst emissie, in Turtle rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-emissie_ttl.html,NA,NA,NA,NA,file_type:RDF_TURTLE,https://github.com/milieuinfo/codelijst-emissie.git,http://www.iana.org/assignments/media-types/application/gzip,https://raw.githubusercontent.com/milieuinfo/codelijst-emissie/codelijst-emissie/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/emissie/emissie.ttl,https://www.iana.org/assignments/media-types/text/turtle,NA,NA,NA,NA
omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-emissie,spdx:Package,be.vlaanderen.omgeving.data.id.graph.codelijst-emissie,NA,NA,NA,NA,"Codelijst emissie, Jar maven package.",omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-emissie,2023-02-13,NA,NA,NA,ovo:OVO003751,NA,Codelijst emissie in jar-formaat.,NA,Package codelijst-emissie,NA,NA,NA,access_right:PUBLIC,NA,NA,NA,NA,NA,NA,NA,file_type:JAR,NA,NA,,NA,NA,NA,NA,NA
